feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
price_from_median_zscore,6389.0,0.0,8.155752182006836,28.0,2047.9561767578125,57.0,0.0
total_is_min_transfers,29.0,123.0,598.8135375976562,0.0,44836.7265625,1.0,0.0
total_num_transfers_rank,152.0,93.0,533.284423828125,1.0,51531.84765625,0.0,0.0
price_per_duration,6299.0,1.0,6.521413803100586,45.0,2811.367431640625,38.0,1.0
has_access_tp,101.0,99.0,8.953407287597656,24.0,11721.8505859375,2.0,2.0
price_percentile,5866.0,2.0,9.310158729553223,22.0,1797.304443359375,69.0,2.0
legs0_num_transfers_rank,25.0,126.0,86.35135650634766,2.0,7306.26953125,6.0,2.0
has_baggage,36.0,119.0,50.03288269042969,3.0,4783.7197265625,17.0,3.0
pricingInfo_isAccessTP,623.0,55.0,14.461398124694824,12.0,10832.8271484375,3.0,3.0
days_before_departure,4976.0,3.0,3.926751136779785,132.0,540.7152709960938,138.0,3.0
legs0_segments0_flightNumber,4929.0,4.0,4.93106746673584,82.0,1416.3057861328125,90.0,4.0
has_fees,8.0,139.0,40.50526809692383,4.0,4143.28564453125,23.0,4.0
legs0_max_duration_cabin,40.0,116.0,10.585265159606934,20.0,8160.21240234375,4.0,4.0
legs1_segments0_baggageAllowance_weightMeasurementType,3.0,149.0,24.184898376464844,5.0,3734.087158203125,27.0,5.0
companyID,4799.0,5.0,5.457866191864014,61.0,930.6127319335938,112.0,5.0
total_weighted_mean_cabin,124.0,97.0,20.25239372253418,8.0,7366.65380859375,5.0,5.0
price_per_tax,4423.0,6.0,4.122643947601318,121.0,961.515380859375,111.0,6.0
miniRules0_statusInfos,90.0,100.0,23.85047149658203,6.0,2932.145751953125,36.0,6.0
miniRules1_statusInfos,242.0,77.0,23.630083084106445,7.0,2686.821044921875,41.0,7.0
price_per_fee,4386.0,7.0,9.126999855041504,23.0,2462.445556640625,46.0,7.0
legs1_segments0_cabinClass,9.0,138.0,5.159234046936035,72.0,7203.82421875,7.0,7.0
legs0_is_min_transfers,6.0,143.0,8.142552375793457,29.0,6165.18115234375,8.0,8.0
legs0_arrivalAt_hour,4043.0,8.0,4.802591800689697,87.0,1337.9879150390625,96.0,8.0
legs0_departureAt_hour,3980.0,9.0,4.604401111602783,99.0,1663.46728515625,76.0,9.0
