feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
legs0_duration,6305.0,38,10.390021324157715,52,3543.260009765625,51,38
total_duration_fastest,594.0,135,14.206838607788086,39,2740.55859375,73,39
legs0_segments0_key_view_count,6162.0,39,11.498344421386719,45,2481.63720703125,79,39
days_between_departure_arrival,4391.0,53,9.917498588562012,57,4271.427734375,41,41
legs0_departureAt_business_time,1755.0,102,12.959624290466309,41,3747.830810546875,48,41
leg1_view_diff_mean,4538.0,49,7.382601737976074,101,4271.0458984375,42,42
unmatched_duration,5779.0,42,7.654184341430664,89,1340.76318359375,145,42
total_duration,5734.0,43,7.964938640594482,79,1407.9246826171875,137,43
legs0_segments0_duration,5579.0,44,8.591609954833984,72,1967.09033203125,103,44
carrier1_pop,625.0,134,9.05253791809082,67,4175.8974609375,44,44
legs0_segments0_seatsAvailable,5487.0,45,6.204108238220215,156,1586.0550537109375,125,45
legs0_segments0_aircraft_code,5313.0,46,7.479607582092285,95,1731.80029296875,117,46
has_corporate_tariff,764.0,130,10.402342796325684,51,3934.41357421875,46,46
isAccess3D,473.0,142,11.256876945495605,46,3405.762939453125,58,46
legs1_segments0_marketingCarrier_code,1238.0,114,10.851661682128906,49,3808.972900390625,47,47
searchRoute,5076.0,47,6.988522052764893,126,1260.090576171875,151,47
legs0_segments0_marketingCarrier_code,1151.0,115,10.044011116027832,56,3609.34375,49,49
legs0_departureAt_day_period,2262.0,92,10.687185287475586,50,3588.060302734375,50,50
all_flight_view_count_rank,4492.0,50,6.865621089935303,133,2714.931884765625,74,50
total_duration_rank,4449.0,51,6.863680362701416,134,1279.100830078125,149,51
carrier_pop_product,2201.0,94,10.206740379333496,54,3516.50830078125,52,52
unmatched_duration_rank,4414.0,52,7.359060287475586,102,1345.0428466796875,144,52
legs1_segments0_operatingCarrier_code,985.0,124,7.825780391693115,84,3492.024169921875,53,53
legs0_departureAt_weekday,4223.0,54,6.996287822723389,125,1683.7021484375,119,54
legs0_segments0_duration_rank,4192.0,55,6.684906005859375,147,1337.455810546875,146,55
leg1_flight_view_count,2559.0,80,10.1681547164917,55,2155.2373046875,96,55
leg1_view_norm,1080.0,119,8.321873664855957,75,3443.739990234375,56,56
legs0_arrivalTo_airport_code,3972.0,56,6.687373161315918,146,1287.263916015625,148,56
legs0_arrivalAt_weekday,3926.0,57,6.734798431396484,141,1578.45556640625,126,57
legs0_segments0_operatingCarrier_code_in_ff,522.0,140,8.209301948547363,77,3407.735107421875,57,57
totalPrice,3873.0,58,7.424280643463135,96,1357.5609130859375,141,58
legs1_departureAt_business_time,1114.0,117,9.8760404586792,58,3059.40380859375,66,58
has_baggage,292.0,151,9.048295021057129,68,3402.648193359375,59,59
taxes,3658.0,59,8.843398094177246,69,1935.9339599609375,104,59
legs1_departureFrom_airport_iata,1115.0,116,7.301377773284912,107,3324.4658203125,60,60
all_view_norm,3572.0,60,9.167737007141113,66,2274.9228515625,86,60
legs0_arrivalAt_day_period,2316.0,87,9.825019836425781,60,2566.282470703125,78,60
requestDate_weekday,3563.0,61,5.770081996917725,158,517.7153930664062,159,61
legs1_departureAt_is_weekend,360.0,149,7.406555652618408,99,3320.620849609375,61,61
legs1_segments0_duration,2963.0,71,9.651508331298828,61,2322.500732421875,84,61
legs0_departureFrom_airport_code,3549.0,62,6.730195999145508,143,1495.69384765625,134,62
legs0_main_carrier,2305.0,88,9.549891471862793,62,3314.371826171875,62,62
legs1_main_carrier,549.0,137,8.268155097961426,76,3249.8095703125,63,63
legs1_segments0_seatsAvailable,3426.0,64,6.2432026863098145,155,1505.79052734375,133,64
legs0_duration_rank,3321.0,65,6.721549034118652,145,2166.83642578125,94,65
leg0_flight_view_count_rank,3247.0,66,7.0634613037109375,120,1792.3084716796875,113,66
legs1_segments0_aircraft_code,3212.0,67,7.938852787017822,80,1261.962890625,150,67
legs0_segments0_operatingCarrier_code,2587.0,77,8.473475456237793,74,3001.40185546875,68,68
legs1_segments1_baggageAllowance_quantity,180.0,155,6.844824314117432,135,2951.2763671875,69,69
leg0_view_norm,3063.0,69,8.146793365478516,78,2244.02490234375,88,69
legs0_segments0_arrivalTo_airport_city_iata,2984.0,70,6.672964572906494,148,1891.677978515625,106,70
legs0_matched_duration_sum_rank,2372.0,85,7.67857027053833,87,2879.69189453125,71,71
legs0_segments0_arrivalTo_airport_code,2922.0,72,6.985970497131348,127,1785.41650390625,115,72
legs0_segments0_key_view_count_rank,2840.0,74,6.7257819175720215,144,1019.5010375976562,156,74
legs0_matched_duration_sum,2774.0,75,7.414477348327637,98,2334.693115234375,82,75
legs1_segments0_arrivalTo_airport_city_iata,1614.0,104,7.35357141494751,104,2685.6005859375,76,76
legs0_arrivalTo_airport_city_iata,2741.0,76,6.6359405517578125,149,1821.662353515625,110,76
legs0_segments1_flightNumber,2562.0,79,6.550274848937988,150,1825.18115234375,109,79
legs1_departureAt_weekday,2279.0,91,6.870869159698486,132,2324.15185546875,83,83
