feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
total_is_min_transfers,260.0,147,3759.554931640625,0,342896.28125,0,0
price_percentile,34982.0,0,15.627779960632324,37,5632.318359375,55,0
price_per_duration,30894.0,1,11.411833763122559,61,4805.0048828125,72,1
total_num_transfers_rank,291.0,144,2233.6455078125,1,211191.09375,1,1
legs0_is_min_transfers,272.0,145,1088.9356689453125,3,169547.234375,2,2
legs0_num_transfers_rank,142.0,154,1120.5810546875,2,127708.9140625,3,2
price_from_median_zscore,29351.0,2,17.648500442504883,32,4806.02685546875,71,2
legs0_segments0_flightNumber,27992.0,3,8.60012149810791,121,3057.230712890625,103,3
legs0_arrivalAt_hour,25698.0,4,9.421749114990234,97,3696.501220703125,87,4
free_exchange,401.0,139,295.194091796875,4,58665.41015625,8,4
pricingInfo_isAccessTP,1549.0,115,60.3305778503418,8,88873.6796875,4,4
price_per_duration_rank,25688.0,5,9.36904525756836,99,4145.32861328125,81,5
has_access_tp,858.0,131,71.67961120605469,7,83669.171875,5,5
legs1_num_transfers_rank,226.0,148,214.47483825683594,5,72589.9296875,6,5
legs1_is_min_transfers,99.0,157,161.3053436279297,6,59795.80859375,7,6
legs0_departureAt_hour,25042.0,6,9.515227317810059,94,5204.93994140625,65,6
totalPrice_rank,25020.0,7,12.577635765075684,47,3805.569091796875,85,7
price_per_fee,24000.0,8,11.766060829162598,57,5430.43212890625,61,8
total_duration_fastest,1395.0,116,53.6791877746582,9,10333.1533203125,32,9
legs0_segments0_operatingCarrier_code_in_ff,982.0,128,10.250429153442383,81,33788.36328125,9,9
price_per_tax,23796.0,9,8.062932968139648,145,1780.6414794921875,153,9
days_before_departure,23767.0,10,8.28780746459961,141,2623.616455078125,117,10
legs0_segments0_cabinClass,299.0,142,50.378509521484375,11,33471.42578125,10,10
is_major_carrier,694.0,135,52.347599029541016,10,7434.458984375,42,10
price_per_fee_rank,22585.0,11,8.587864875793457,124,1934.106201171875,147,11
legs0_max_duration_cabin,294.0,143,42.78277587890625,14,32253.0859375,11,11
isAccess3D,1019.0,126,20.08139419555664,27,32226.44921875,12,12
free_cancel,578.0,138,47.01678466796875,12,7077.337890625,44,12
log_price,22570.0,12,8.718228340148926,116,2064.418701171875,137,12
has_fees,217.0,151,29.323617935180664,16,28156.681640625,13,13
legs0_mean_cabin,711.0,134,44.30931091308594,13,12504.8056640625,24,13
price_minus_fee_rank,22255.0,13,8.38746166229248,139,2012.53955078125,141,13
legs1_mean_cabin,180.0,153,11.105291366577148,66,25087.142578125,14,14
group_size,20171.0,14,8.584027290344238,125,2678.902099609375,113,14
price_minus_fee,19895.0,15,8.69039249420166,117,2498.671630859375,121,15
legs0_weighted_mean_cabin,380.0,140,38.517574310302734,15,17401.8125,18,15
both_legs_carrier_all_same,655.0,136,21.900981903076172,25,19063.623046875,15,15
tax_rate,18427.0,16,8.44001293182373,133,2284.93359375,129,16
legs0_segments0_baggageAllowance_quantity,3342.0,91,29.101770401000977,17,18803.240234375,16,16
leg0_view_diff_mean,18385.0,17,8.923956871032715,111,4124.7412109375,82,17
legs1_segments0_cabinClass,57.0,159,14.11234188079834,42,18383.70703125,17,17
total_weighted_mean_cabin,1087.0,124,27.870935440063477,18,16769.56640625,20,18
all_view_diff_mean,18306.0,18,8.753657341003418,114,3216.318603515625,97,18
legs0_duration_fastest,1310.0,119,25.807830810546875,19,4163.12451171875,80,19
companyID_loo_mean_legs0_departureAt_hour,17822.0,19,9.465883255004883,95,2746.3408203125,110,19
miniRules1_monetaryAmount,3287.0,92,19.0926513671875,29,16966.166015625,19,19
legs0_segments1_key_view_count_rank,1212.0,122,23.567487716674805,20,2695.82958984375,112,20
companyID_loo_mean_legs0_arrivalAt_hour,17668.0,20,9.002806663513184,109,2670.050537109375,115,20
has_baggage,722.0,133,17.627653121948242,33,14241.6123046875,21,21
isVip,1900.0,108,23.349872589111328,21,8772.7255859375,34,21
duration_ratio,16880.0,21,8.457364082336426,131,3164.211669921875,98,21
baggage_total,3109.0,94,22.866064071655273,22,9920.732421875,33,22
companyID_loo_mean_totalPrice,16819.0,22,11.28146743774414,62,3578.725830078125,89,22
legs1_departureAt_day_period,2478.0,105,11.950279235839844,53,13076.974609375,22,22
companyID_loo_selected_count,16272.0,23,9.383618354797363,98,2657.240234375,116,23
legs1_departureAt_hour,10481.0,48,12.333048820495605,51,12737.5859375,23,23
total_num_transfers,221.0,149,22.234386444091797,23,3903.98388671875,83,23
total_fees,4034.0,82,22.051172256469727,24,8085.5205078125,41,24
companyID_loo_mean_taxes,16185.0,24,9.570754051208496,91,2001.9658203125,142,24
companyID_loo_mean_legs1_departureAt_hour,15887.0,25,9.26516056060791,104,2678.900634765625,114,25
legs0_duration,11133.0,44,14.764593124389648,40,12175.0009765625,25,25
legs0_segments1_cabinClass,218.0,150,21.565349578857422,26,5862.7333984375,53,26
is_popular_route,132.0,155,12.494607925415039,49,12163.76953125,26,26
companyID_loo_mean_cabin_class,15815.0,26,10.454427719116211,77,2778.458740234375,108,26
corporateTariffCode,10173.0,50,10.982267379760742,69,11325.3505859375,27,27
companyID_total_occurrences,15551.0,27,9.307395935058594,102,2331.61376953125,126,27
companyID_loo_mean_total_num_transfers,15428.0,28,8.605522155761719,120,1815.559326171875,151,28
legs0_segments0_marketingCarrier_code_in_ff,271.0,146,11.790781021118164,56,11063.9375,28,28
miniRules1_statusInfos,1267.0,120,19.164775848388672,28,6584.212890625,45,28
legs1_max_duration_cabin,117.0,156,12.566694259643555,48,10808.3896484375,29,29
companyID_loo_mean_legs1_arrivalAt_hour,14810.0,29,8.801816940307617,113,2751.721923828125,109,29
companyID_loo_mean_legs1_duration,14038.0,30,9.010907173156738,108,1947.875732421875,145,30
legs1_departureAt_business_time,1669.0,112,11.684849739074707,59,10537.7412109375,30,30
baggage_total_rank,4669.0,74,19.025278091430664,30,6044.80419921875,51,30
leg0_view_norm,5902.0,65,18.642486572265625,31,5512.61328125,59,31
companyID_loo_mean_legs0_duration,13773.0,31,8.460123062133789,130,2012.8861083984375,140,31
legs1_weighted_mean_cabin,210.0,152,10.266035079956055,80,10384.2392578125,31,31
group_size_log,12956.0,32,9.364910125732422,100,2327.154296875,127,32
taxes,12954.0,33,9.742746353149414,89,2191.355224609375,132,33
unmatched_duration_rank,10501.0,47,17.531333923339844,34,8287.49609375,39,34
total_duration,12905.0,34,10.24352741241455,82,3135.410888671875,101,34
is_cheapest,1024.0,125,16.625045776367188,35,8527.0029296875,36,35
legs1_segments0_marketingCarrier_code,1895.0,109,10.08049488067627,85,8753.1875,35,35
