feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
price_per_duration,11755.0,0,13.653451919555664,29,4463.97412109375,59,0
total_is_min_transfers,206.0,89,3108.52294921875,0,249055.265625,0,0
total_num_transfers_rank,121.0,95,1396.1539306640625,1,147654.484375,1,1
duration_percentile,11660.0,1,9.477014541625977,67,5176.6884765625,51,1
legs0_num_transfers_rank,205.0,90,60.53569793701172,2,46321.43359375,4,2
companyID,11520.0,2,9.610838890075684,63,3663.3955078125,74,2
has_access_tp,1022.0,71,51.191097259521484,3,71848.1796875,2,2
price_percentile,11239.0,3,9.781950950622559,60,11477.3671875,19,3
pricingInfo_isAccessTP,234.0,86,41.55147171020508,4,68236.8359375,3,3
legs0_segments0_flightNumber,11185.0,4,9.46208667755127,68,9407.609375,24,4
legs0_mean_cabin,73.0,96,39.25480270385742,5,20200.076171875,11,5
legs0_arrivalAt_hour,11121.0,5,9.540933609008789,65,3784.27197265625,70,5
isAccess3D,227.0,87,19.671907424926758,16,26392.62109375,5,5
legs0_segments0_operatingCarrier_code_in_ff,527.0,80,10.5742826461792,55,23921.716796875,6,6
legs0_segments0_baggageAllowance_quantity,1440.0,67,38.76091766357422,6,19985.39453125,12,6
price_rank_times_duration_rank,10864.0,6,12.512109756469727,39,3911.05859375,69,6
legs1_max_duration_cabin,40.0,97,8.605948448181152,82,23796.369140625,7,7
both_legs_carrier_all_same,315.0,84,29.761442184448242,7,20235.1171875,10,7
days_before_departure,10526.0,7,7.744091033935547,88,2717.736083984375,87,7
has_baggage,647.0,78,29.417387008666992,8,8437.5009765625,25,8
legs0_departureAt_hour,9918.0,8,10.348884582519531,56,5672.30078125,47,8
legs0_segments0_cabinClass,149.0,92,23.871728897094727,10,22558.216796875,8,8
legs0_weighted_mean_cabin,226.0,88,27.931711196899414,9,13865.724609375,15,9
price_from_median_zscore,9775.0,9,9.775247573852539,61,2919.1591796875,83,9
legs1_segments0_cabinClass,7.0,99,10.585899353027344,54,21425.935546875,9,9
price_per_fee,9384.0,10,14.936053276062012,24,6296.654296875,39,10
price_minus_group_mean,4366.0,40,23.042394638061523,11,7955.345703125,29,11
price_ratio_group_max,9240.0,11,7.356996536254883,95,2276.21826171875,98,11
total_fees,1982.0,62,22.51750373840332,12,7210.85400390625,32,12
price_per_duration_rank,8742.0,12,9.910656929016113,59,4015.39599609375,67,12
total_weighted_mean_cabin,531.0,79,22.489076614379883,13,12216.0810546875,18,13
log_price_times_rank,8242.0,13,9.706315040588379,62,2964.9140625,81,13
legs1_weighted_mean_cabin,20.0,98,13.133038520812988,35,19527.68359375,13,13
price_per_tax,8239.0,14,7.604995250701904,92,2300.489013671875,96,14
miniRules1_monetaryAmount,1901.0,63,19.83149528503418,15,15178.666015625,14,14
is_popular_route,269.0,85,21.846296310424805,14,8257.68359375,26,14
duration_ratio_group_max,8173.0,15,9.591486930847168,64,2447.116455078125,95,15
corporateTariffCode,5515.0,29,13.070286750793457,36,12558.921875,16,16
price_per_fee_rank,8094.0,16,8.181185722351074,85,2583.21337890625,92,16
legs1_segments0_baggageAllowance_quantity,360.0,83,15.640124320983887,21,12417.8974609375,17,17
price_minus_fee_rank,7615.0,17,8.07450008392334,86,2711.716552734375,88,17
baggage_total,899.0,75,18.533660888671875,17,5860.38720703125,42,17
duration_minus_group_mean,5060.0,33,17.467357635498047,18,8030.21435546875,28,18
price_ratio_times_duration_ratio,7159.0,18,7.547787189483643,93,3135.114501953125,79,18
isVip,144.0,93,16.850528717041016,19,4094.52783203125,65,19
log_duration_times_rank,7080.0,19,7.450771808624268,94,2679.764892578125,89,19
legs1_departureAt_hour,5696.0,26,12.004128456115723,41,11116.4736328125,20,20
price_dev_times_cabin,5228.0,31,16.682905197143555,20,3174.279541015625,78,20
duration_ratio,6797.0,20,8.868876457214355,77,5118.2763671875,52,20
legs1_departureAt_day_period,405.0,82,11.837242126464844,43,10900.724609375,21,21
log_price,6755.0,21,8.72145938873291,78,2872.862548828125,86,21
legs0_duration,4749.0,38,14.460603713989258,27,10291.439453125,22,22
log_price_times_ratio,6715.0,22,14.702073097229004,26,5748.2431640625,45,22
legs1_main_carrier,182.0,91,15.19709300994873,22,4783.8583984375,54,22
totalPrice_rank,5543.0,28,15.021012306213379,23,6522.5263671875,37,23
legs1_segments0_flightNumber,6146.0,23,9.166598320007324,73,7160.2685546875,33,23
log_price_times_isVip,1325.0,69,9.373503684997559,71,9800.1953125,23,23
searchRoute,6119.0,24,9.112462043762207,74,2464.568115234375,94,24
price_minus_fee,5785.0,25,9.026406288146973,76,2940.646484375,82,25
unmatched_duration_rank,3997.0,43,14.80896282196045,25,5657.0322265625,48,25
log_price_minus_group_mean,3504.0,51,13.146989822387695,34,8038.52294921875,27,27
duration_ratio_group_mean,5549.0,27,8.473564147949219,84,3390.198486328125,77,27
total_duration_rank,3611.0,50,13.991058349609375,28,4661.02197265625,56,28
taxes,5238.0,30,10.295485496520996,57,4155.40380859375,62,30
legs1_segments0_operatingCarrier_code,826.0,76,11.42590618133545,46,7508.67431640625,30,30
ratio_max_times_isVip,1567.0,65,13.563491821289062,30,3984.90673828125,68,30
price_rank,1243.0,70,13.501446723937988,31,5443.69921875,50,31
total_fees_rank,2077.0,59,9.48756217956543,66,7311.17724609375,31,31
legs0_main_carrier,2067.0,60,13.380301475524902,32,6912.96240234375,35,32
legs0_segments0_seatsAvailable,5062.0,32,6.6454925537109375,99,5809.7685546875,43,32
log_duration_minus_group_mean,3938.0,44,13.297764778137207,33,4102.67578125,64,33
legs0_segments0_operatingCarrier_code,1579.0,64,12.699881553649902,38,6997.7734375,34,34
legs0_segments0_aircraft_code,4913.0,34,8.644777297973633,80,3686.928955078125,72,34
legs1_arrivalAt_hour,4849.0,35,10.898357391357422,48,4467.5048828125,58,35
unmatched_duration,4823.0,36,10.624528884887695,52,6691.55859375,36,36
baggage_total_rank,2012.0,61,12.972713470458984,37,5993.18017578125,41,37
price_ratio_group_mean,4759.0,37,7.7165985107421875,89,4150.6162109375,63,37
legs0_matched_duration_sum_rank,2209.0,58,9.339469909667969,72,6301.962890625,38,38
log_duration_times_ratio,4712.0,39,8.540605545043945,83,2537.603515625,93,39
