feature,min_rank_small,min_rank_medium,min_rank_large,min_rank_xlarge,avg_rank,max_rank,min_rank_overall
total_num_transfers_rank,1.0,0.0,0.0,1.0,0.5,1.0,0.0
total_is_min_transfers,0.0,0.0,1.0,2.0,0.75,2.0,0.0
price_from_median_zscore,0.0,1.0,3.0,4.0,2.0,4.0,0.0
price_per_duration_rank,6.0,0.0,0.0,5.0,2.75,6.0,0.0
legs0_segments0_flightNumber,4.0,5.0,1.0,2.0,3.0,5.0,1.0
companyID,3.0,3.0,8.0,0.0,3.5,8.0,0.0
price_percentile,1.0,2.0,7.0,7.0,4.25,7.0,1.0
price_per_duration,2.0,4.0,2.0,10.0,4.5,10.0,2.0
legs0_mean_cabin,10.0,4.0,4.0,0.0,4.5,10.0,0.0
price_minus_fee_rank,11.0,6.0,4.0,3.0,6.0,11.0,3.0
price_per_fee_rank,10.0,7.0,5.0,6.0,7.0,10.0,5.0
days_before_departure,5.0,8.0,9.0,9.0,7.75,9.0,5.0
totalPrice_rank,13.0,9.0,6.0,8.0,9.0,13.0,6.0
both_legs_carrier_all_same,9.0,7.0,11.0,9.0,9.0,11.0,7.0
legs0_segments0_baggageAllowance_quantity,7.0,14.0,17.0,0.0,9.5,17.0,0.0
has_access_tp,9.0,7.0,10.0,15.0,10.25,15.0,7.0
legs0_arrivalAt_hour,7.0,11.0,10.0,13.0,10.25,13.0,7.0
pricingInfo_isAccessTP,5.0,8.0,9.0,19.0,10.25,19.0,5.0
legs0_max_duration_cabin,10.0,16.0,8.0,8.0,10.5,16.0,8.0
price_per_tax,9.0,10.0,12.0,14.0,11.25,14.0,9.0
price_per_fee,12.0,12.0,11.0,15.0,12.5,15.0,11.0
legs0_departureAt_hour,8.0,13.0,13.0,16.0,12.5,16.0,8.0
legs1_segments0_baggageAllowance_quantity,23.0,12.0,7.0,10.0,13.0,23.0,7.0
has_baggage,4.0,18.0,21.0,12.0,13.75,21.0,4.0
baggage_total,19.0,22.0,17.0,1.0,14.75,22.0,1.0
legs0_segments0_cabinClass,13.0,11.0,6.0,29.0,14.75,29.0,6.0
total_weighted_mean_cabin,8.0,9.0,18.0,24.0,14.75,24.0,8.0
legs1_segments0_flightNumber,29.0,18.0,15.0,1.0,15.75,29.0,1.0
log_price,14.0,14.0,17.0,21.0,16.5,21.0,14.0
duration_ratio,21.0,15.0,14.0,17.0,16.75,21.0,14.0
legs0_segments0_seatsAvailable,20.0,17.0,16.0,18.0,17.75,20.0,16.0
price_minus_fee,16.0,16.0,19.0,20.0,17.75,20.0,16.0
legs0_segments0_marketingCarrier_code,24.0,26.0,13.0,12.0,18.75,26.0,12.0
has_fees,2.0,17.0,16.0,40.0,18.75,40.0,2.0
