feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
price_from_median_zscore,14749.0,0,14.200854301452637,30,3731.135498046875,82,0
total_is_min_transfers,189.0,102,3785.394775390625,0,281045.0625,0,0
companyID,14093.0,1,8.76827335357666,72,3134.75146484375,93,1
total_num_transfers_rank,136.0,105,1078.9873046875,1,104139.59375,1,1
has_fees,5.0,119,313.3922424316406,2,90042.5234375,2,2
price_per_duration_rank,13906.0,2,8.768662452697754,71,4226.818359375,69,2
price_per_duration,13784.0,3,11.060466766357422,46,4116.78955078125,76,3
pricingInfo_isAccessTP,259.0,99,56.29447555541992,3,58116.515625,5,3
legs0_num_transfers_rank,286.0,97,37.823123931884766,9,72819.1640625,3,3
price_percentile,13160.0,4,15.698277473449707,28,12294.2412109375,23,4
has_access_tp,1240.0,74,48.63325881958008,6,64956.3046875,4,4
has_baggage,92.0,113,51.385597229003906,4,16131.72265625,17,4
legs1_num_transfers_rank,104.0,111,51.348838806152344,5,34555.66015625,6,5
days_before_departure,13099.0,5,6.893189430236816,102,2478.96728515625,105,5
legs0_segments0_flightNumber,11892.0,6,8.926841735839844,70,8901.4453125,31,6
price_per_fee_rank,11537.0,7,7.770073890686035,91,2317.03857421875,106,7
legs0_segments0_baggageAllowance_quantity,1520.0,66,44.296016693115234,7,19885.984375,14,7
legs0_segments0_cabinClass,191.0,101,25.76069450378418,14,33889.1484375,7,7
legs0_max_duration_cabin,108.0,109,18.040910720825195,24,32610.912109375,8,8
legs0_weighted_mean_cabin,98.0,112,40.58738327026367,8,25097.908203125,11,8
price_minus_fee_rank,11402.0,8,6.729537487030029,103,2866.21484375,98,8
price_per_tax,11124.0,9,7.086925506591797,101,2132.2333984375,110,9
legs0_segments0_operatingCarrier_code_in_ff,322.0,94,9.498692512512207,60,28184.033203125,9,9
legs0_mean_cabin,312.0,96,33.17908477783203,10,6917.58251953125,37,10
isAccess3D,269.0,98,18.27766227722168,23,28160.650390625,10,10
legs0_arrivalAt_hour,11111.0,10,9.28857135772705,62,4039.698974609375,77,10
price_per_fee,10985.0,11,13.166178703308105,34,6014.224609375,42,11
both_legs_carrier_all_same,346.0,90,32.470855712890625,11,19392.724609375,15,11
baggage_total,1317.0,71,26.96250343322754,12,9476.677734375,29,12
legs1_segments0_cabinClass,21.0,118,7.899815082550049,85,21427.06640625,12,12
legs0_departureAt_hour,10904.0,12,9.842083930969238,56,5903.47265625,44,12
totalPrice_rank,10497.0,13,12.861371040344238,36,4882.89013671875,55,13
total_weighted_mean_cabin,622.0,84,25.775466918945312,13,10536.1474609375,27,13
legs1_mean_cabin,39.0,116,10.464347839355469,51,20198.666015625,13,13
log_price,9142.0,14,7.822203636169434,89,4569.41015625,62,14
duration_ratio,7898.0,15,8.072246551513672,81,4496.81396484375,64,15
is_popular_route,475.0,88,25.69423484802246,15,14261.5908203125,19,15
legs1_departureAt_day_period,327.0,93,13.209549903869629,33,18976.18359375,16,16
price_minus_fee,6930.0,16,7.931166648864746,84,4034.376708984375,78,16
miniRules1_statusInfos,512.0,86,25.033658981323242,16,4798.412109375,56,16
miniRules0_statusInfos,229.0,100,23.520885467529297,17,4194.21337890625,72,17
taxes,6379.0,17,10.033707618713379,53,4290.17822265625,68,17
isVip,1017.0,77,22.261953353881836,18,6441.861328125,39,18
legs0_duration,4787.0,30,18.527849197387695,22,14417.958984375,18,18
corporateTariffCode,6284.0,18,12.934117317199707,35,12746.8623046875,22,18
miniRules1_monetaryAmount,1659.0,62,20.39594078063965,19,13868.7919921875,20,19
legs0_segments0_seatsAvailable,6198.0,19,5.945959568023682,115,2570.474609375,102,19
total_fees,2064.0,52,19.055627822875977,20,7496.78369140625,34,20
searchRoute,5998.0,20,8.447656631469727,75,2147.27001953125,108,20
legs0_main_carrier,436.0,89,18.663833618164062,21,4522.7802734375,63,21
legs0_segments0_baggageAllowance_weightMeasurementType,22.0,117,17.43488121032715,26,13762.865234375,21,21
legs1_segments0_flightNumber,5910.0,21,8.707415580749512,73,8142.93994140625,32,21
legs1_departureAt_hour,5714.0,22,12.17546558380127,41,11823.8251953125,24,22
total_duration_rank,5534.0,23,13.991881370544434,31,6110.7705078125,41,23
legs1_arrivalAt_hour,5486.0,24,10.029069900512695,54,4968.54052734375,53,24
legs1_max_duration_cabin,50.0,115,5.619366645812988,116,11459.9521484375,25,25
miniRules0_monetaryAmount,1739.0,61,17.673521041870117,25,4767.98828125,57,25
unmatched_duration,5426.0,25,9.118558883666992,64,3916.798828125,80,25
legs1_segments0_operatingCarrier_code_in_ff,145.0,104,7.388063907623291,96,11193.7607421875,26,26
legs0_segments0_aircraft_code,5379.0,26,8.164690971374512,80,2784.16015625,99,26
unmatched_duration_rank,5006.0,28,15.884340286254883,27,4975.6318359375,52,27
legs0_segments0_duration,5038.0,27,11.47942066192627,43,3140.37939453125,92,27
legs1_segments0_baggageAllowance_quantity,345.0,91,12.391267776489258,39,9926.5458984375,28,28
