feature,weight,weight_rank_pos,gain,gain_rank_pos,cover,cover_rank_pos,min_rank
legs0_segments0_flightNumber,8866.0,0,7.0362162590026855,115,2536.371826171875,101,0
total_is_min_transfers,163.0,174,2971.8369140625,0,202106.3125,0,0
legs0_departureAt_hour,7936.0,1,7.916382789611816,88,3923.3193359375,67,1
total_num_transfers_rank,83.0,182,1460.63623046875,1,127649.1796875,1,1
legs0_arrivalAt_hour,7912.0,2,7.8322930335998535,91,2743.044189453125,94,2
legs0_num_transfers_rank,106.0,179,424.4738464355469,2,80515.421875,2,2
pricingInfo_isAccessTP,207.0,170,46.111751556396484,3,37849.74609375,5,3
has_access_tp,820.0,133,43.23698425292969,4,46314.3203125,3,3
price_per_duration,7908.0,3,11.7899751663208,36,5088.60546875,49,3
legs1_max_duration_cabin,13.0,193,8.965816497802734,69,45401.265625,4,4
companyID,7888.0,4,7.923587322235107,87,2565.652587890625,98,4
days_before_departure,7402.0,5,6.082925319671631,164,2257.543212890625,112,5
legs0_segments0_baggageAllowance_quantity,1055.0,120,43.2127799987793,5,18948.439453125,8,5
legs1_weighted_mean_cabin,16.0,192,9.573627471923828,61,25354.89453125,6,6
duration_percentile,6997.0,6,6.568674564361572,133,2154.499267578125,126,6
totalPrice_rank_normalized,2190.0,79,36.301513671875,6,7248.302734375,33,6
price_per_fee,6792.0,7,14.412727355957031,26,4933.65234375,50,7
has_baggage,442.0,156,33.79438018798828,7,7942.32421875,29,7
isAccess3D,177.0,173,15.947114944458008,18,24386.0625,7,7
total_weighted_mean_cabin,328.0,162,32.21406173706055,8,14721.6435546875,11,8
price_percentile,6202.0,8,5.843281269073486,171,2397.41748046875,106,8
price_per_tax,6084.0,9,6.357741832733154,149,1226.950927734375,184,9
both_legs_carrier_all_same,230.0,166,31.789384841918945,10,16211.935546875,9,9
legs0_mean_cabin,75.0,185,31.883180618286133,9,16109.8037109375,10,9
price_rank_times_duration_rank,5674.0,10,6.1938796043396,160,2883.67724609375,89,10
price_ratio_group_max,5500.0,11,5.686373233795166,176,1345.6011962890625,179,11
miniRules1_monetaryAmount,1259.0,109,22.658432006835938,11,14528.2001953125,12,11
price_per_fee_rank,5225.0,12,5.704717636108398,174,1781.530517578125,152,12
price_dev_times_cabin,3035.0,56,22.253992080688477,12,2084.863037109375,131,12
legs1_arrivalAt_hour,2497.0,70,9.940690994262695,54,14221.4501953125,13,13
miniRules1_statusInfos,366.0,160,22.102401733398438,13,4634.1220703125,55,13
price_per_duration_rank,5141.0,13,6.406646728515625,143,2728.2646484375,95,13
is_max_duration_cabin_same,13.0,194,3.824768543243408,195,12289.2646484375,14,14
totalPrice_smoothed_zscore_X_totalPrice_percentile,5054.0,14,5.431445121765137,182,1224.7540283203125,185,14
total_fees,1323.0,105,21.317489624023438,14,5246.93017578125,47,14
price_from_median_zscore,4988.0,15,5.3930230140686035,184,1579.6859130859375,167,15
isVip,76.0,184,21.28937530517578,15,4703.9921875,53,15
legs1_segments0_baggageAllowance_quantity,221.0,168,11.725223541259766,40,11671.5029296875,15,15
log_price_times_rank,4922.0,16,6.259035110473633,157,2218.544189453125,119,16
totalPrice_percentile_X_totalPrice_relative_diff,3413.0,47,20.092788696289062,16,3459.0390625,73,16
corporateTariffCode,3780.0,35,11.785506248474121,37,11258.3779296875,16,16
legs0_segments0_cabinClass,93.0,180,11.485483169555664,43,10428.8515625,17,17
totalPrice_percentile_X_total_duration_percentile,4918.0,17,11.913206100463867,35,2887.75927734375,88,17
legs0_segments0_baggageAllowance_weightMeasurementType,9.0,195,17.189977645874023,17,2177.10302734375,123,17
log_price_times_isVip,847.0,131,8.310047149658203,77,10424.8271484375,18,18
totalPrice_rank_normalized_X_total_duration_rank_normalized,4643.0,18,6.356225490570068,150,1948.468017578125,139,18
unmatched_duration_rank,2475.0,72,15.69678783416748,19,5098.5546875,48,19
legs1_departureAt_day_period,154.0,175,11.403783798217773,44,10420.0693359375,19,19
duration_ratio_group_max,4600.0,19,8.455907821655273,75,1714.6746826171875,156,19
legs1_departureAt_hour,3179.0,52,10.84837532043457,51,10230.0166015625,20,20
totalPrice_smoothed_zscore_X_totalPrice_rank_normalized,4548.0,20,5.832724094390869,172,1205.1317138671875,186,20
legs0_segments0_marketingCarrier_code_in_ff,17.0,191,15.48564624786377,20,1360.180908203125,175,20
total_duration_rank,1513.0,97,15.41061019897461,21,2401.206298828125,105,21
legs0_segments0_operatingCarrier_code_in_ff,227.0,167,7.132177829742432,112,9700.18359375,21,21
price_minus_fee_rank,4499.0,21,5.970184326171875,169,2149.99365234375,127,21
totalPrice_percentile_X_totalPrice_rank_normalized,4455.0,22,5.701700687408447,175,1310.5484619140625,182,22
legs0_segments0_marketingCarrier_code,150.0,176,11.731554985046387,39,9688.6728515625,22,22
legs0_weighted_mean_cabin,199.0,172,15.349615097045898,22,7848.2265625,30,22
baggage_total,608.0,143,15.267284393310547,23,6813.494140625,34,23
legs1_arrivalAt_day_period,546.0,150,10.422708511352539,53,9120.9912109375,23,23
price_ratio_times_duration_ratio,4423.0,23,6.392564296722412,145,1849.4683837890625,147,23
log_price,4334.0,24,6.545502662658691,136,2075.433837890625,132,24
totalPrice_sqrt_X_totalPrice_relative_diff,3986.0,29,14.841883659362793,24,3953.689697265625,66,24
legs0_segments0_operatingCarrier_code,971.0,124,10.662132263183594,52,8547.951171875,24,24
legs0_duration,2843.0,58,13.057283401489258,29,8499.5869140625,25,25
searchRoute,4219.0,25,7.001224994659424,119,1347.88818359375,178,25
ratio_max_times_isVip,913.0,126,14.723122596740723,25,3319.560302734375,75,25
taxes,4155.0,26,8.234566688537598,79,2304.08544921875,110,26
legs1_segments0_marketingCarrier_code,622.0,142,9.252589225769043,63,8482.2998046875,26,26
total_duration_smoothed_zscore_X_total_duration_sqrt,2044.0,85,13.163402557373047,27,2941.34130859375,85,27
totalPrice_relative_diff,4096.0,27,9.600783348083496,59,2890.21728515625,87,27
legs1_departureAt_business_time,409.0,158,9.583860397338867,60,8354.474609375,27,27
totalPrice_sqrt_X_total_duration_sqrt,4043.0,28,7.028229236602783,116,1612.5625,165,28
total_fees_rank,1443.0,100,7.067722320556641,114,8274.01953125,28,28
legs0_main_carrier,1240.0,111,13.08232307434082,28,6575.3916015625,37,28
totalPrice_sqrt_X_totalPrice_rank_normalized,3343.0,49,12.617349624633789,30,3119.607421875,78,30
totalPrice_smoothed_zscore_X_totalPrice_relative_diff,3982.0,30,6.274342060089111,156,1703.68017578125,157,30
legs0_segments0_seatsAvailable,3638.0,39,5.399025917053223,183,7746.140625,31,31
has_frequentFlyer,73.0,186,12.563130378723145,31,4913.79541015625,51,31
totalPrice_relative_diff_X_totalPrice_rank_normalized,3940.0,31,6.428916931152344,141,2015.5867919921875,136,31
totalPrice_percentile_X_totalPrice_sqrt,3494.0,43,12.08779239654541,32,2556.37158203125,99,32
duration_ratio,3888.0,32,7.12121057510376,113,3498.311279296875,72,32
total_duration_standardized_X_total_duration_rank_normalized,2493.0,71,7.712579727172852,96,7267.00830078125,32,32
total_duration_smoothed_zscore_X_total_duration_standardized,3882.0,33,6.615170478820801,132,1342.3394775390625,180,33
legs0_segments1_duration_rank,726.0,138,12.028376579284668,33,2996.800537109375,84,33
totalPrice_smoothed_zscore_X_totalPrice_standardized,3812.0,34,6.0339436531066895,167,2208.064697265625,121,34
is_popular_route,205.0,171,11.941593170166016,34,5577.7001953125,44,34
legs0_matched_duration_sum_rank,1189.0,116,7.98765230178833,86,6782.41943359375,35,35
log_duration_times_rank,3762.0,36,5.978607177734375,168,1360.760009765625,174,36
legs1_main_carrier,111.0,178,9.168097496032715,65,6763.9169921875,36,36
total_duration_smoothed_zscore_X_total_duration_rank_normalized,3734.0,37,6.8301100730896,126,2870.7392578125,90,37
duration_minus_group_mean,2607.0,63,11.762316703796387,38,5685.6572265625,42,38
legs1_duration,979.0,123,7.006616115570068,118,6443.384765625,38,38
total_duration_percentile_X_total_duration_rank_normalized,3671.0,38,6.281042098999023,153,1388.477294921875,173,38
legs1_segments0_arrivalTo_airport_city_iata,712.0,139,8.86814022064209,70,6366.0625,39,39
legs0_segments0_aircraft_code,3622.0,40,6.4344072341918945,140,1832.408203125,149,40
legs1_segments0_operatingCarrier_code,488.0,151,11.067985534667969,46,6178.2431640625,40,40
price_minus_fee,3511.0,41,7.16377067565918,110,2216.075927734375,120,41
total_duration_relative_diff,1882.0,90,11.612241744995117,41,2316.95263671875,109,41
legs1_duration_rank,777.0,136,6.516688823699951,137,5868.0205078125,41,41
totalPrice_smoothed_zscore_X_totalPrice_sqrt,3510.0,42,6.9374260902404785,122,1724.1256103515625,155,42
duration_dev_times_cabin,1881.0,91,11.519087791442871,42,4103.89013671875,62,42
legs0_segments1_marketingCarrier_code,458.0,153,11.006012916564941,47,5654.35595703125,43,43
totalPrice_relative_diff_X_total_duration_relative_diff,3479.0,44,6.6261067390441895,131,1784.6656494140625,151,44
price_minus_group_mean,2537.0,67,11.397159576416016,45,2824.67431640625,92,45
log_price_times_ratio,3444.0,45,6.815922737121582,127,2098.81689453125,130,45
legs1_arrivalAt_business_time,436.0,157,8.618346214294434,72,5404.2255859375,45,45
nationality,457.0,154,6.485119342803955,139,5370.30712890625,46,46
total_duration_smoothed_zscore_X_total_duration_percentile,3437.0,46,6.052931785583496,166,2240.705322265625,115,46
totalPrice_smoothed_zscore_X_total_duration_smoothed_zscore,3155.0,53,10.990812301635742,48,2766.503662109375,93,48
unmatched_duration,3357.0,48,9.666072845458984,57,4399.43505859375,57,48
baggage_total_rank,1444.0,98,10.921473503112793,49,4134.69189453125,60,49
total_duration_percentile_X_total_duration_sqrt,3312.0,50,7.803493499755859,93,1936.277587890625,140,50
miniRules0_statusInfos,135.0,177,10.886500358581543,50,2393.057861328125,107,50
legs0_segments0_duration,3213.0,51,8.32762336730957,76,1879.470703125,144,51
legs1_matched_duration_sum_rank,573.0,149,5.723177433013916,173,4741.99609375,52,52
legs1_segments0_flightNumber,3081.0,54,6.783442974090576,128,2483.045166015625,102,54
legs0_matched_duration_sum,1406.0,102,7.3180251121521,106,4635.7783203125,54,54
total_duration_sqrt_X_total_duration_standardized,1366.0,103,9.710869789123535,55,2231.032470703125,117,55
total_duration_relative_diff_X_total_duration_rank_normalized,3065.0,55,6.980325222015381,121,1688.679443359375,158,55
days_between_departure_arrival,2255.0,78,9.690277099609375,56,4577.21240234375,56,56
total_duration_sqrt_X_total_duration_rank_normalized,2859.0,57,7.181755542755127,109,1929.1607666015625,141,57
log_duration_dev_times_cabin,1786.0,92,9.650251388549805,58,2835.05126953125,91,58
legs0_departureAt_day_period,452.0,155,7.659353733062744,99,4390.8642578125,58,58
legs0_segments1_baggageAllowance_quantity,287.0,164,7.8076701164245605,92,4232.6083984375,59,59
log_duration_times_ratio,2806.0,59,7.897151947021484,89,2016.4461669921875,135,59
price_ratio_group_mean,2685.0,60,6.5053815841674805,138,1607.8536376953125,166,60
legs1_departureAt_is_weekend,45.0,189,7.710388660430908,97,4133.8203125,61,61
log_duration_minus_group_mean,2660.0,61,9.509467124938965,62,2125.83203125,129,61
duration_ratio_group_mean,2652.0,62,7.61410665512085,101,2262.461181640625,111,62
legs1_segments0_cabinClass,5.0,196,2.983544111251831,196,4093.26318359375,63,63
miniRules0_monetaryAmount,999.0,121,8.087646484375,81,4075.787841796875,64,64
totalPrice_standardized_X_total_duration_standardized,2583.0,64,6.685487270355225,130,1839.0426025390625,148,64
total_duration,2372.0,76,9.174422264099121,64,2251.681884765625,114,64
totalPrice_standardized_X_totalPrice_rank_normalized,1075.0,119,7.267207622528076,108,3975.619140625,65,65
totalPrice_rank,2556.0,65,7.00082540512085,120,3127.222900390625,77,65
legs0_segments0_arrivalTo_airport_iata,2549.0,66,8.636083602905273,71,2352.109375,108,66
log_price_minus_group_mean,1711.0,93,9.066474914550781,66,2549.897705078125,100,66
total_duration_sqrt_X_total_duration_relative_diff,1208.0,113,9.040059089660645,67,1791.997314453125,150,67
total_duration_percentile_X_total_duration_relative_diff,2413.0,74,8.997873306274414,68,2240.245849609375,116,68
total_duration_percentile_X_total_duration_standardized,2516.0,68,7.1477861404418945,111,2226.954345703125,118,68
log_duration_times_isVip,633.0,141,6.275430202484131,154,3890.212158203125,68,68
totalPrice_standardized,583.0,148,8.023863792419434,82,3777.023193359375,69,69
legs0_segments0_departureFrom_airport_iata,2504.0,69,7.9915289878845215,85,1989.9915771484375,138,69
legs1_segments0_departureFrom_airport_iata,1358.0,104,7.599565505981445,102,3767.747314453125,70,70
totalPrice_relative_diff_X_totalPrice_standardized,1126.0,118,7.355191230773926,105,3628.66845703125,71,71
total_duration_rank_normalized,2027.0,86,8.611543655395508,73,1870.5321044921875,145,73
tax_rate,2445.0,73,7.648474216461182,100,2466.585693359375,103,73
legs0_departureAt_is_weekend,64.0,188,6.5592827796936035,135,3392.2236328125,74,74
total_duration_sqrt,364.0,161,8.489482879638672,74,1658.910400390625,162,74
log_price_dev_times_cabin,2373.0,75,8.267078399658203,78,2411.714599609375,104,75
legs1_arrivalAt_weekday,847.0,132,6.194966793060303,159,3172.36865234375,76,76
total_duration_percentile,2318.0,77,6.359252452850342,148,1888.8466796875,143,77
totalPrice_percentile_X_totalPrice_standardized,1519.0,96,6.075419902801514,165,3090.473876953125,79,79
duration_rank,986.0,122,8.178790092468262,80,2050.72021484375,133,80
total_duration_smoothed_zscore_X_total_duration_relative_diff,2175.0,80,6.559543609619141,134,1506.65380859375,170,80
legs1_departureAt_weekday,901.0,127,6.27468729019165,155,3066.797607421875,80,80
price_rank,607.0,144,7.883366107940674,90,3059.061279296875,81,81
legs0_segments0_arrivalTo_airport_city_iata,2141.0,81,7.991889953613281,84,1990.800537109375,137,81
legs0_segments0_duration_rank,2136.0,82,7.007714748382568,117,1866.1885986328125,146,82
legs1_segments0_aircraft_code,1437.0,101,6.316444396972656,151,3017.939208984375,82,82
totalPrice_percentile,2096.0,83,6.7151312828063965,129,2252.06201171875,113,83
totalPrice_sqrt_X_totalPrice_standardized,878.0,129,7.728796482086182,95,3013.8525390625,83,83
