feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
legs1_duration,7598.0,55,9.619267463684082,67,6113.68359375,35,35
legs1_segments1_departureFrom_airport_iata,435.0,98,13.662636756896973,36,4339.41162109375,56,36
total_fees_rank,5891.0,59,10.57581901550293,57,6111.822265625,36,36
all_flight_view_count,14912.0,37,11.04881477355957,55,3443.873779296875,69,37
leg0_flight_view_count,13052.0,41,13.33818531036377,38,3859.765869140625,64,38
legs0_segments1_baggageAllowance_quantity,954.0,90,12.957908630371094,39,3866.5908203125,63,39
legs0_segments0_seatsAvailable,14222.0,39,7.280187606811523,111,2117.804443359375,100,39
legs0_segments0_duration,13217.0,40,11.116188049316406,54,2756.57421875,77,40
carrier0_pop,4135.0,69,12.028276443481445,46,5733.802734375,41,41
legs0_segments0_marketingCarrier_code,4714.0,65,12.622479438781738,41,5723.67626953125,42,41
legs0_segments0_key_view_count,12914.0,42,10.125884056091309,62,2778.23388671875,76,42
carrier_pop_product,4791.0,64,12.537420272827148,42,4509.02490234375,54,42
legs0_segments0_aircraft_code,12774.0,43,8.08785629272461,106,3503.54931640625,67,43
group_size_log,12709.0,44,8.595427513122559,91,2337.926025390625,92,44
leg1_view_norm,3792.0,73,12.30480670928955,44,5058.666015625,47,44
leg1_view_diff_mean,12063.0,45,8.80900764465332,88,4956.70751953125,52,45
legs0_arrivalAt_weekday,11592.0,46,8.190080642700195,103,2339.505126953125,91,46
legs1_duration_rank,5981.0,58,9.276150703430176,74,5065.64404296875,46,46
legs0_segments0_duration_rank,11191.0,47,8.68933391571045,90,2180.6337890625,98,47
legs1_matched_duration_sum_rank,3935.0,72,8.062392234802246,107,4982.162109375,48,48
legs1_segments1_operatingCarrier_code,542.0,96,7.975923538208008,109,4970.7109375,49,49
legs0_departureAt_weekday,9425.0,50,8.097228050231934,105,2372.0537109375,90,50
legs0_duration_rank,8777.0,51,11.3172025680542,52,3932.974853515625,61,51
legs0_matched_duration_sum_rank,7101.0,56,9.515839576721191,70,4957.01318359375,51,51
legs1_segments0_seatsAvailable,7889.0,53,7.4174113273620605,110,2125.762939453125,99,53
leg1_flight_view_count,6389.0,57,10.35864543914795,59,2482.91357421875,86,57
legs0_departureAt_business_time,4114.0,70,9.815167427062988,64,4206.052734375,59,59
legs1_segments0_duration_rank,5815.0,60,8.03813648223877,108,1817.4459228515625,109,60
legs0_segments1_flightNumber,4883.0,63,8.237712860107422,102,3246.144287109375,73,63
legs0_segments1_arrivalTo_airport_city_iata,2581.0,77,9.646519660949707,66,1742.1395263671875,111,66
legs0_segments1_key_view_count,3757.0,74,8.910815238952637,83,1919.0260009765625,105,74
legs1_segments1_arrivalTo_airport_city_iata,1101.0,88,9.183032989501953,77,1809.1219482421875,110,77
legs1_segments1_seatsAvailable,854.0,92,8.396112442016602,99,2620.199462890625,83,83
