feature,weight_rank,weight_rank_pos,gain_rank,gain_rank_pos,cover_rank,cover_rank_pos,min_rank
companyID,10542.0,0,9.391393661499023,67,3468.74755859375,68,0
total_is_min_transfers,189.0,95,3410.8056640625,0,242534.90625,0,0
total_num_transfers_rank,121.0,99,1177.58349609375,1,131335.71875,1,1
legs0_segments0_flightNumber,9980.0,1,9.463027954101562,63,10450.32421875,22,1
price_per_duration,9849.0,2,14.23232650756836,31,6392.9248046875,37,2
legs0_segments0_operatingCarrier_code_in_ff,804.0,78,15.951203346252441,25,81124.484375,2,2
legs0_num_transfers_rank,192.0,94,192.1609344482422,2,64870.82421875,4,2
pricingInfo_isAccessTP,998.0,75,50.119956970214844,3,72178.3203125,3,3
legs0_arrivalAt_hour,9120.0,3,9.838811874389648,59,4555.6162109375,57,3
days_before_departure,9097.0,4,7.646913051605225,91,2846.59716796875,82,4
legs0_segments0_baggageAllowance_quantity,1397.0,71,42.59273147583008,4,21266.939453125,9,4
has_access_tp,227.0,91,36.48174285888672,5,51295.78515625,5,5
legs0_departureAt_hour,9015.0,5,10.560503959655762,52,5940.9638671875,41,5
has_baggage,351.0,85,33.92534255981445,6,12596.9375,17,6
isAccess3D,201.0,93,14.413552284240723,28,32891.0234375,6,6
duration_percentile,8900.0,6,10.109851837158203,57,5603.39501953125,48,6
legs0_weighted_mean_cabin,146.0,97,23.96382713317871,12,23059.4453125,7,7
price_per_tax,8569.0,7,7.886746406555176,87,2543.27783203125,87,7
totalPrice_sqrt_X_totalPrice_rank_normalized,3582.0,57,30.92678451538086,7,7845.23193359375,27,7
total_duration_smoothed_zscore_X_total_duration_standardized,7807.0,8,7.882928848266602,89,2059.04296875,97,8
both_legs_carrier_all_same,350.0,86,29.155370712280273,8,20032.009765625,10,8
totalPrice_percentile_X_totalPrice_sqrt,4280.0,50,19.10975456237793,21,23009.46875,8,8
legs0_mean_cabin,300.0,89,27.27463722229004,9,12361.162109375,18,9
log_duration_times_rank,7782.0,9,9.400985717773438,66,3961.82763671875,62,9
is_popular_route,316.0,87,26.13810920715332,10,15007.7099609375,11,10
price_ratio_group_max,7551.0,10,7.2483673095703125,95,1791.810546875,98,10
duration_ratio_group_max,7386.0,11,12.674859046936035,40,3412.8681640625,70,11
total_weighted_mean_cabin,540.0,81,24.12477684020996,11,10448.955078125,23,11
totalPrice_percentile,1837.0,64,14.25503921508789,30,14929.25,12,12
price_per_fee,7305.0,12,19.53981590270996,18,6895.20068359375,35,12
miniRules1_monetaryAmount,1643.0,68,23.031816482543945,13,14544.5615234375,13,13
price_percentile,7089.0,13,8.184279441833496,85,3900.739501953125,63,13
unmatched_duration_rank,3524.0,58,21.078134536743164,14,10577.59375,21,14
price_rank_times_duration_rank,6784.0,14,8.833989143371582,74,3115.5849609375,78,14
legs1_mean_cabin,136.0,98,8.924532890319824,70,13934.439453125,14,14
price_per_fee_rank,6762.0,15,7.458590507507324,92,2248.111328125,94,15
baggage_total,733.0,79,19.96251678466797,15,5723.19580078125,46,15
corporateTariffCode,5136.0,34,14.305449485778809,29,13803.5859375,15,15
legs1_segments0_baggageAllowance_quantity,399.0,84,12.167375564575195,41,13564.2080078125,16,16
totalPrice_rank_normalized,2868.0,61,19.809810638427734,16,6085.10400390625,38,16
price_per_duration_rank,6330.0,16,10.909899711608887,49,5079.69775390625,51,16
total_duration_rank,2852.0,62,19.599306106567383,17,7445.47802734375,31,17
duration_ratio,6263.0,17,9.124849319458008,68,5040.06103515625,52,17
total_duration_percentile_X_total_duration_rank_normalized,6051.0,18,7.258074760437012,94,2780.580322265625,83,18
total_fees,1783.0,67,19.25615882873535,19,7219.88330078125,34,19
searchRoute,6029.0,19,8.742593765258789,79,2217.99609375,95,19
legs1_departureAt_hour,5449.0,31,13.789836883544922,34,11707.712890625,19,19
log_price_times_isVip,723.0,80,11.929327011108398,42,11370.6044921875,20,20
miniRules1_statusInfos,509.0,82,19.243595123291016,20,4817.236328125,56,20
price_ratio_times_duration_ratio,6023.0,20,8.838944435119629,73,3860.9599609375,64,20
totalPrice_smoothed_zscore_X_total_duration_smoothed_zscore,5988.0,21,10.561548233032227,51,4481.05517578125,58,21
totalPrice_rank_normalized_X_total_duration_rank_normalized,5916.0,22,8.19984245300293,84,8449.884765625,26,22
ratio_max_times_isVip,1377.0,73,18.144264221191406,22,3741.43505859375,67,22
totalPrice_percentile_X_totalPrice_relative_diff,3410.0,59,16.760108947753906,23,4069.43115234375,61,23
price_minus_fee_rank,5779.0,23,7.445528030395508,93,2526.22900390625,88,23
total_duration_relative_diff_X_total_duration_rank_normalized,5751.0,24,8.825121879577637,76,2546.70361328125,86,24
legs0_segments0_operatingCarrier_code,1453.0,70,12.911742210388184,37,8714.6357421875,24,24
totalPrice_sqrt_X_totalPrice_relative_diff,4542.0,44,16.299346923828125,24,5977.19482421875,40,24
legs1_segments0_operatingCarrier_code,832.0,77,11.363774299621582,46,8542.0458984375,25,25
totalPrice_smoothed_zscore_X_totalPrice_percentile,5690.0,25,7.171678066253662,96,2302.11865234375,92,25
baggage_total_rank,1954.0,63,15.882429122924805,26,7303.02734375,32,26
price_from_median_zscore,5656.0,26,6.8792877197265625,98,2252.4365234375,93,26
totalPrice_smoothed_zscore_X_totalPrice_standardized,5649.0,27,7.029669761657715,97,2461.080322265625,89,27
totalPrice_relative_diff,4193.0,52,14.598868370056152,27,4936.76953125,55,27
legs1_matched_duration_sum_rank,1387.0,72,8.851595878601074,72,7805.974609375,28,28
price_dev_times_cabin,5637.0,28,12.700502395629883,39,2945.515625,80,28
legs1_departureAt_day_period,265.0,90,10.021669387817383,58,7688.763671875,29,29
log_price_times_rank,5531.0,29,7.825719356536865,90,3266.89306640625,76,29
total_duration,4688.0,40,14.038047790527344,33,7556.796875,30,30
totalPrice_smoothed_zscore_X_totalPrice_rank_normalized,5472.0,30,8.824700355529785,77,2312.866943359375,91,30
isVip,189.0,96,14.21723461151123,32,4351.85693359375,59,32
totalPrice_percentile_X_total_duration_percentile,5446.0,32,9.411479949951172,65,4135.6923828125,60,32
totalPrice_sqrt_X_total_duration_sqrt,5188.0,33,10.113008499145508,56,3028.42626953125,79,33
legs1_segments0_flightNumber,5090.0,35,9.481244087219238,62,7262.08251953125,33,33
totalPrice_smoothed_zscore_X_totalPrice_sqrt,4786.0,39,13.42084789276123,35,3361.534423828125,73,35
